[SpectrumHeader]
Title = Particle 42
ExcitationWavelength = 532.054016113281
SpectrumSize = 1600
XDataKind = 1/cm

[SampleMetaData]
Length = 1.70595032413527
Width = 1.32685056968404
Aspect Ratio = 0.77777796393726
Num Pixels = 156
Area = 1.5569333404354
Convex Area = 1.76153034991569
Perimeter = 5.34032758929091
Convex Perimeter = 4.90712746762257
Feret Max = 1.7660285530647
Feret Min = 1.32685056968404
CE Diameter = 1.40795919598508
Circularity = 0.828270212398758
Convexity = 0.918881358039338
Solidity = 0.88385269121813
SE Volume = 1.46139907613453
Focus Z Position = 0.680000007152557
Material = PET
VisualCenterPointX = -3.6691138197213
VisualCenterPointY = -23.842853407142
VisualCenterPointZ = 0

[SpectrumData]
-70.9766554320777	1274.65
-68.0105362578906	1274.4
-65.0454772452213	1274.9
-62.0814776437801	1273.9
-59.1185367044418	1274.65
-56.1566536792488	1275.3
-53.1958278214115	1274.8
-50.2360583852969	1275.8
-47.2773446263636	1274.8
-44.3196858012416	1274.5
-41.3630811677685	1275.1
-38.4075299847827	1274.5
-35.453031512403	1274.8
-32.4995850117775	1274.85
-29.5471897452298	1274.75
-26.5958449762002	1274.7
-23.6455499692893	1275.35
-20.6963039901966	1274.35
-17.7481063057094	1275.45
-14.8009561837862	1274.3
-11.8548528934625	1274.15
-8.90979570495983	1274.25
-5.96578388952184	1275.35
-3.0228167195055	1276.35
-0.0808934684719134	1276
2.85998658901735	1275
5.79982417723659	1275.65
8.73862001939051	1274.8
11.6763748376179	1274.6
14.6130893528752	1275.3
17.5487642850676	1275.4
20.4834003530596	1275.35
23.4169982745843	1274.95
26.3495587662874	1275.6
29.2810825437191	1276.25
32.2115703213822	1274.75
35.1410228126879	1274.45
38.069440729967	1276.4
40.9968247845027	1276
43.9231756864901	1275.35
46.8484941450151	1275.8
49.7727808681775	1276
52.6960365629493	1275.1
55.618261935273	1276.45
58.5394576900253	1282.2
61.4596245310495	1302.9
64.3787631610721	1361.75
67.2968742818193	1467.7
